Hra / Poznámka,Název hry,BGG ID,Jazyky,Umístění,Datum přidání
GAME,Proč kouzelník nečaruje,,,,1.1.2022
GAME,Proroctví,,,,1.1.2022
,Rozšíření: Dračí říše,,,,
,Rozšíření: Vodní říše,,,,
GAME,Představ si,,,,1.1.2022
GAME,Příběhy piráta,,,,1.1.2022
GAME,Příběhy z kostek: Akc,,,,1.1.2022
GAME,Příběhy z kostek: Doctor Who,,,,1.1.2022
GAME,Příběhy z kostek: Fantazie,,,,1.1.2022
GAME,Příběhy z kostek: Hrdinové,,,,1.1.2022
GAME,Příběhy z kostek: Looney Tunes,,,,1.1.2022
GAME,Příběhy z kostek: Scooby Doo,,,,1.1.2022
GAME,Příběhy z kostek: Výprav,,,,1.1.2022
GAME,Příběhy z kostek: Záhady,,,,1.1.2022
GAME,Příšerky z podzemí,,,,1.1.2022
GAME,Puerto Rico,,,,1.1.2022
GAME,Pulsar 2849,,,,1.1.2022
GAME,Pustina ,,CZ,,1.1.2022
GAME,Pylos,,,,1.1.2022
GAME,Quantum,,,,1.1.2022
GAME,Quarto,,,,1.1.2022
GAME,QueenDomino,,,,1.1.2022
GAME,Queenz,,,,1.1.2022
GAME,Quiddler,,,,1.1.2022
GAME,Quixo,,,,1.1.2022
GAME,Quoridor,,,,1.1.2022
GAME,Qwixx de Luxe,,,,1.1.2022
GAME,Railroad Ink: Azurově modrá edice,,,,1.1.2022
GAME,Railroad Ink: Ohnivě rudá edice,,,,1.1.2022
GAME,Railways of the World: 10th Anniversary Edition,,,,1.1.2022
GAME,Raptor,,,,1.1.2022
GAME,Reavers of Midgard,,,,1.1.2022
,Kickstarter edice,,,,
,Playmat,,,,
GAME,Red Alert: Space Fleet Warfare,,,,1.1.2022
,Rozšíření: Logistics & Space platform escalation pack,,,,
,Rozšíření: Vice Admiral FLagship Escalation Pack,,,,
GAME,Revolver,,,,1.1.2022
GAME,Reykholt,,,,1.1.2022
GAME,Rise of Tribes,,,,1.1.2022
GAME,Rising Sun ,,CZ,,1.1.2022
,Rozšíření: Nespoutaní bohové,,,,
,Rozšíření: Nová monstra,,,,
,Rozšíření: Invaze dynastií,,,,
,Neoprenový playmat,,,,
GAME,Rising Sun ,,ENG,,1.1.2022
,Kickstarter edice,,,,
,Rozšíření: Dynasty Invasion,,,,
,Rozšíření: Kami Unbound,,,,
,Rozšíření: Monster Pack,,,,
GAME,Rival Restaurants,,,,1.1.2022
GAME,Rivalové,,,,1.1.2022
,Rozšíření: Nebezpečné okruhy,,,,
GAME,River Dragons,,,,1.1.2022
GAME,Robin Hood and the Merry Men,,,,1.1.2022
GAME,Robinson Crusoe,,,,1.1.2022
,Rozšíření: Záhada ztraceného města,,,,
GAME,RobotiCS,,,,1.1.2022
GAME,Roll for the Galaxy,,,,1.1.2022
GAME,RONE,,,,1.1.2022
GAME,RONE – Race of New Era,,,,1.1.2022
,Rozšíření: Probuzení a Nové síly,,,,
,Playmat x2 (banerovina),,,,
,Playmat x2 (neopren),,,,
GAME,Room 25,,,,1.1.2022
GAME,Root ,,CZ,,1.1.2022
,Rozšíření: Říčního lidu,,,,
GAME,Root ,,ENG,,1.1.2022
,Riverfolk expansion,,,,
GAME,Rune Stones,,,,1.1.2022
,Rozšíření: Nocturnal Creatures – čekáme na dodání chybějícich komponentů,,,,
GAME,Ruské železnice,,,,1.1.2022
GAME,Rytíř klouzek,,,,1.1.2022
GAME,Říše příšer,,,,1.1.2022
GAME,Sabotér,,,,1.1.2022
,Rozšíření,,,,
GAME,Sabotér Duel,,,,1.1.2022
GAME,Safari Bar,,,,1.1.2022
GAME,Safari Bar: Nové šelmy před barem,,,,1.1.2022
GAME,Sagrada,,,,1.1.2022
GAME,Samarkand,,,,1.1.2022
GAME,Samhain,,,,1.1.2022
GAME,Samurai Spirit,,,,1.1.2022
GAME,Samurajský meč,,,,1.1.2022
GAME,San Juan,,,,1.1.2022
GAME,San Marco,,,,1.1.2022
GAME,Sanctum,,,,1.1.2022
GAME,Sankt Petersburg,,,,1.1.2022
GAME,Scythe,,,,1.1.2022
,Nová setkání,,,,
,Rozšíření: Invaze z dálek,,,,
,Rozšíření: Titáni nebes,,,,
,Rzšíření: Vzestup Fenrise,,,,
GAME,Secret Hitler,,,,1.1.2022
GAME,Sedm Draků,,,,1.1.2022
GAME,Sejmi jednorožce,,,,1.1.2022
GAME,Senji,,,,1.1.2022
GAME,Settlers: Vládcové severu,,,,1.1.2022
GAME,Settlers: Zrod impéria,,,,1.1.2022
,"Rozšíření: Atlantida, Amazon, Aztékové, Proč bychom se nepřátelili a Síla trojice",,,,
GAME,Shadows: Amsterdam,,,,1.1.2022
GAME,Sherlock Holmes: Trojitá výzva,,,,1.1.2022
GAME,Shit Happens,,,,1.1.2022
GAME,Shitenno,,,,1.1.2022
GAME,Shogun Big box,,,,1.1.2022
,čekáme na dodání chybějícich komponentů,,,,
GAME,Shuffle Heroes,,,,1.1.2022
GAME,SiegeStorm,,,,1.1.2022
GAME,Sierra West,,,,1.1.2022
GAME,Sid Meier’s Civilization,,,,1.1.2022
GAME,Side Effects,,,,1.1.2022
GAME,Skol ty Skoty!,,,,1.1.2022
GAME,Skulk Hollow,,,,1.1.2022
GAME,Slož to,,,,1.1.2022
GAME,Small Star Empires,,,,1.1.2022
GAME,Small World of Warcraft,,,,1.1.2022
GAME,Sochy v akci,,,,1.1.2022
GAME,Sole Mio!,,,,1.1.2022
GAME,Space Alert,,,,1.1.2022
,Rozšíření: Vzdálené horizonty,,,,
GAME,Space Race,,,,1.1.2022
,Rozšíření: Interkosmos,,,,
GAME,Spiknutí: Království Hlubiny,,,,1.1.2022
GAME,Spirit Island,,,,1.1.2022
,Rozšíření: Branch and Claw,,,,
GAME,Splendor,,,,1.1.2022
,Rozšíření: Města Splendoru,,,,
GAME,Splendor Marvel,,,,1.1.2022
GAME,Spoj 5,,,,1.1.2022
GAME,StarCraft: The Board Game,,,,1.1.2022
GAME,Star Trek: Ascendancy,,,,1.1.2022
GAME,Star Wars Imperium vs. Rebelové,,,,1.1.2022
GAME,Star Wars Rebelie ,,CZ,,1.1.2022
,Rozšíření: Rise of the Empire,,,,
GAME,Star Wars Vnější okraj,,,,1.1.2022
GAME,Starcadia Quest ,,ENG,,1.1.2022
,Kickstarted Edice – All-in,,,,
GAME,Steam Park,,,,1.1.2022
,Rozšíření: Play Dirty a Robots,,,,
GAME,Stezky tukanů,,,,1.1.2022
GAME,Stronghold  ,,CZ,,1.1.2022
,2. edice,,,,
GAME,Střelené kachny,,,,1.1.2022
GAME,Studená válka,,,,1.1.2022
GAME,Suburbia: Collector’s Edition,,,,1.1.2022
GAME,Summoner Wars,,,,1.1.2022
,"Rozšíření: Mistrovská sada, Zatracení, Žoldnéři",,,,
GAME,Summoner’s Isle,,,,1.1.2022
GAME,Sun-Tzu,,,,1.1.2022
GAME,Superšpión,,,,1.1.2022
GAME,Sushi Go,,,,1.1.2022
GAME,System,,,,1.1.2022
GAME,Šalingrad,,,,1.1.2022
GAME,Šerif z Nottinghamu,,,,1.1.2022
GAME,Šestiměstí,,,,1.1.2022
,Rozšíření: Družina věrných,,,,
GAME,Šťastný candát,,,,1.1.2022
GAME,T.I.M.E. Stories,,,,1.1.2022
,Rozšíření: Proroctví draků,,,,
,Rozšíření: Případ Marcy,,,,
GAME,Tainted Grail: The Fall of Avalon,,,,1.1.2022
,All-in,,,,
GAME,Tajuplné říše,,,,1.1.2022
GAME,Takenoko,,,,1.1.2022
,Rozšíření: Panďátka,,,,
GAME,Talisman,,,,1.1.2022
,Rozšíření: Podzemí,,,,
GAME,Tapestry,,,,1.1.2022
GAME,Tash-Kalar: Aréna legend,,,,1.1.2022
,"Rozšíření: Pekelný oheň, Věčný mráz, Spoutaný čas",,,,
GAME,Temné znamení,,,,1.1.2022
GAME,Terra Mystica,,,,1.1.2022
,Rozšíření: Oheň a led,,,,
,Rozšíření: Obchodníci,,,,
GAME,Teotihuacan: City of Gods,,,,1.1.2022
,Rozšíření: Late Preclassic,,,,
GAME,Thanos Rising,,,,1.1.2022
GAME,The 7th continent,,,,1.1.2022
,All-in,,,,
GAME,The Castles of Burgundy,,,,1.1.2022
GAME,The City of Kings,,,,1.1.2022
GAME,The Flow of History,,,,1.1.2022
GAME,The Gallerist,,,,1.1.2022
,Kickstarter edice,,,,
GAME,The Game,,,,1.1.2022
GAME,The Island of El Dorado,,,,1.1.2022
,Rozšíření: The Thieves of El Dorado,,,,
GAME,The Isle of Cats,,,,1.1.2022
,5 & 6 Player,,,,
GAME,The Manhattan project Energy Empire,,,,1.1.2022
GAME,The Mind – Souznění myslí,,,,1.1.2022
GAME,The Phantom Society,,,,1.1.2022
GAME,The Resistance: Avalon,,,,1.1.2022
GAME,The Towers of Arkhanos,,,,1.1.2022
,5th player expansion,,,,
,Rozšíření: The Dark Tower Expansion,,,,
GAME,The Waylanders,,,,1.1.2022
GAME,Théby,,,,1.1.2022
GAME,This War of Mine: The Board Game,,,,1.1.2022
,Rozšíření: Příběhy města sutin,,,,
GAME,Through the Ages: Příběh civilizace,,,,1.1.2022
GAME,Through the Ages: Nový příběh civilizace,,,,1.1.2022
GAME,Ticket to Ride – Evropa,,,,1.1.2022
GAME,Tikal,,,,1.1.2022
GAME,Time of Legends: Joan of Arc,,,,1.1.2022
,"Core Box, Reliquary Box, Super Compendium, Plunder a Compendium",,,,
,Rozšíření: Apocalypse,,,,
,Rozšíření: Siege,,,,
,Rozšíření: Legendary Dragon,,,,
,Rozšíření: Unleash Hell,,,,
,Rozšíření: Village Pack,,,,
,Rozšíření: Ars Nova,,,,
,Rozšíření: Legendary Battles,,,,
,Rozšíření: Joan of Arc: The Role Playing Game,,,,
,Rozšíření: Neoprene Playmat,,,,
,Rozšíření: Ottoman Army,,,,
,Rozšíření: Siege Equipment,,,,
GAME,Time’s Up! Rodina,,,,1.1.2022
GAME,Timeline: Hudba a film,,,,1.1.2022
GAME,Timeline: Objevy,,,,1.1.2022
GAME,Timeline: Pestrá historie,,,,1.1.2022
GAME,Timeline: Událost,,,,1.1.2022
GAME,Timeline: Vynálezy,,,,1.1.2022
GAME,Timeline: Slovensko,,,,1.1.2022
GAME,Timeline: Česko,,,,1.1.2022
GAME,To je otázka!,,,,1.1.2022
GAME,Too Many Bones,,,,1.1.2022
GAME,Továrník,,,,1.1.2022
GAME,Trickerion: Collector’s Edition,,,,1.1.2022
GAME,Trogdor: The Board Game,,,,1.1.2022
GAME,Troll,,,,1.1.2022
GAME,Tsuro of the Seas,,,,1.1.2022
,Rozšíření: Veterans of the Seas,,,,
GAME,Túry Můry,,,,1.1.2022
GAME,Tuscany,,,,1.1.2022
GAME,Twilight Imperium ,,CZ,,1.1.2022
,4. edice,,,,
GAME,Tzolk'in: Mayský kalendář,,,,1.1.2022
,mini Rozšíření: 1 a 2,,,,
,Rozšíření: Kmeny a proroctví,,,,
GAME,U-Boot,,,,1.1.2022
GAME,Ubongo,,,,1.1.2022
GAME,Ubongo 3D,,,,1.1.2022
GAME,Ultimate Warriorz,,,,1.1.2022
GAME,Unlock,,,,1.1.2022
GAME,Unstable Unicorns,,,,1.1.2022
,"Rozšíření: Apocalypse, Dragon, Rainbow Sprinkles, NSFW Pack",,,,
GAME,Under my bed,,,,1.1.2022
GAME,Únikové příběhy – Procitnutí,,,,1.1.2022
GAME,Únikovka: Loupež v Benátkách,,,,1.1.2022
GAME,Únikovka: Závod s časem,,,,1.1.2022
GAME,Útěk z vězení,,,,1.1.2022
GAME,V hlavní roli,,,,1.1.2022
GAME,V pasti,,,,1.1.2022
GAME,Valhalla ,,"CZ, ENG",,1.1.2022
,KS – Epic box (ENG),,,,
GAME,Vast: The Crystal Caverns,,,,1.1.2022
,Miniatures Expansion,,,,
,Rozšíření: The Fearsome Foes),,,,
GAME,Ve jménu krále,,,,1.1.2022
GAME,Ve víru věků,,,,1.1.2022
GAME,Velbloudí dostihy,,,,1.1.2022
GAME,Vědomostní pexeso – Zvířecí nej,,,,1.1.2022
GAME,Velká kniha strašlivých čar,,,,1.1.2022
GAME,Velryby ničí svět,,,,1.1.2022
GAME,Verona,,,,1.1.2022
GAME,Veverčáci,,,,1.1.2022
GAME,Vikomti Západního Království,,,,1.1.2022
GAME,Villagers,,,,1.1.2022
GAME,Vindication,,,,1.1.2022
GAME,Vinhos Deluxe,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Vítejte ve svém vysněném domově,,,,1.1.2022
GAME,Viticulture,,,,1.1.2022
GAME,Vládce Tokia,,,,1.1.2022
,postava Rozy Pony,,,,
,Rozšíření: Ještě silnější,,,,
GAME,Vládci podzemí,,,,1.1.2022
GAME,Volfyirion,,,,1.1.2022
GAME,Voodoo mánie,,,,1.1.2022
GAME,Vše nej,,,,1.1.2022
GAME,Vúdú,,,,1.1.2022
GAME,Vúdú: Nindžové a lidojedi,,,,1.1.2022
GAME,Výbušná koťátka,,,,1.1.2022
,Implozivní koťátka,,,,
,Přisprostlá edice,,,,
GAME,Výbušná koťátka – Párty karty,,,,1.1.2022
GAME,Výbušné lektvary,,,,1.1.2022
GAME,Vysoké napětí,,,,1.1.2022
,Rozšíření: Benelux/Střední Evropa a Nové elektrárny,,,,
GAME,Výzvy přírody – Dinosauři,,,,1.1.2022
GAME,Vzhůru do podzemí!,,,,1.1.2022
GAME,Vzhůru zpátky do podzemí!,,,,1.1.2022
GAME,War of the Ring,,"CZ, ENG",,1.1.2022
,2. edice,,,,
,"CZ jen karty, CZ pravidla na deskozrout.cz",,,,
GAME,War of the Worlds: The New Wave,,,,1.1.2022
,Kickstarter edice,,,,
,Playmat,,,,
GAME,Warcraft,,,,1.1.2022
GAME,Western Legends ,,ENG,,1.1.2022
,Rozšíření: Fistful of Extras a The Good the Bad & the Handsome,,,,
GAME,World of Tanks: Rush,,,,1.1.2022
GAME,World of Warcraft,,,,1.1.2022
GAME,X bere!,,,,1.1.2022
GAME,XCOM: Desková hra,,,,1.1.2022
GAME,XIA: Legends of a drift,,,,1.1.2022
,Rozšíření: Embers of a Forsaken Star,,,,
GAME,Yggdrasil,,,,1.1.2022
GAME,Ys,,,,1.1.2022
GAME,Yspahan,,,,1.1.2022
GAME,Žabky,,,,1.1.2022
GAME,Začarovaná věž,,,,1.1.2022
GAME,Zahrada,,,,1.1.2022
GAME,Zachraňte Příšerky!,,,,1.1.2022
GAME,Zajíc a želva,,,,1.1.2022
GAME,Zakázaný ostrov,,,,1.1.2022
GAME,Zakázaná poušť,,,,1.1.2022
GAME,Zaklínač,,,,1.1.2022
GAME,Záchranáři: Boj s ohněm,,,,1.1.2022
,Rozšíření: 2. podlaží a Velkoměsto,,,,
GAME,Zámky šíleného krále Ludvíka,,,,1.1.2022
GAME,Zasni se,,,,1.1.2022
GAME,Země,,,,1.1.2022
GAME,Země: Na cestách,,,,1.1.2022
GAME,Zeměplocha: Ankh-Morpork,,,,1.1.2022
GAME,Zeměplocha: Čarodějky,,,,1.1.2022
GAME,Zeměplocha: Semafory,,,,1.1.2022
GAME,Zhanguo,,,,1.1.2022
GAME,Zima mrtvých: Cesty osudu,,,,1.1.2022
,Rozšíření: Dlouhá noc,,,,
GAME,Zlaté Česko,,,,1.1.2022
GAME,Změňte osud – Třešňové květy,,,,1.1.2022
GAME,Zombicide: Černý mor ,,CZ,,1.1.2022
,Rozšíření: Wulfsburg,,,,
GAME,Zombicide: Green Horde ,,ENG,,1.1.2022
,Kickstarter Edice,,,,
GAME,Zombicide: Invader ,,ENG,,1.1.2022
,Kickstarted Edice – All-in,,,,
GAME,Zombie Kidz: Evoluce,,,,1.1.2022
GAME,Zombie Teenz: Evoluce,,,,1.1.2022
GAME,Zombie Tsunami,,,,1.1.2022
GAME,Zombies vs. Cheerleaders,,,,1.1.2022
GAME,Zooloretto,,,,1.1.2022
,Rozšíření: Boss,,,,
,Rozšíření: Exotic,,,,
,Rozšíření: XXL,,,,
GAME,Zpátky do lavic,,,,1.1.2022
GAME,Ztracené dědictví: Hvězdný koráb,,,,1.1.2022
GAME,Ztracené dědictví: Létající zahrada,,,,1.1.2022
GAME,Zvířata na palubě,,,,1.1.2022
